source_site,micro_area,topology,price_ksh,sq_ft,borehole,parking,security,content_hash
Jiji Kenya,Jacaranda Gardens,Apartment,55000,0,0,0,0,"Verified ID   5+ years on Jiji  DIAMOND KSh 55,000 per month 2bdrm Apartment in Jacaranda Gardens, Kahawa Maziwa for rent The newly built phase in Jac"
Jiji Kenya,Jacaranda Gardens,Apartment,55000,0,0,0,0,"KSh 55,000 per month 2bdrm Apartment in Jacaranda Gardens, Kahawa Maziwa for rent The newly built phase in Jacaranda Gardens gives the feeling of home"
Jiji Kenya,Jacaranda Gardens,Apartment,55000,0,0,0,0,"KSh 55,000 per month 2bdrm Apartment in Jacaranda Gardens, Kahawa Maziwa for rent"
Jiji Kenya,Nairobi Region,Apartment,110000,0,0,0,0,"5+ years on Jiji  KSh 110,000 per month 3bdrm Apartment in Nyalibehind Citymall for rent This exquisite 3br all ensuite apartment is located in Nyali "
Jiji Kenya,Nairobi Region,Apartment,110000,0,0,0,0,"KSh 110,000 per month 3bdrm Apartment in Nyalibehind Citymall for rent This exquisite 3br all ensuite apartment is located in Nyali behind City mall. "
Jiji Kenya,Nyalibehind Citymall for rent,Apartment,110000,0,0,0,0,"KSh 110,000 per month 3bdrm Apartment in Nyalibehind Citymall for rent"
Jiji Kenya,Nairobi Region,Apartment,0,0,0,0,0,"This exquisite 3br all ensuite apartment is located in Nyali behind City mall. 
It depicks the... Mombasa, Nyali"
Jiji Kenya,Nairobi Region,Apartment,0,0,0,0,0,"This exquisite 3br all ensuite apartment is located in Nyali behind City mall. 
It depicks the..."
Jiji Kenya,Enkang Residence,Mansionette,17,0,0,0,0,Search in Houses & Apartments For Rent Sell faster Buy smarter Sign in Registration Sell Categories Property New Builds  | 150 Houses & Apartments For
Jiji Kenya,Enkang Residence,Mansionette,17,0,0,0,0,< KSh 17 K KSh 17 - 34 K KSh 34 - 60 K > KSh 60 K Apartment Maisonette Bungalow House Bedsitter Studio Apartment Mansion Sort by:   Sort  Verified ID 
Jiji Kenya,Enkang Residence,Studio Apartment,55000,0,0,0,0,"Verified ID   5+ years on Jiji  KSh 55,000 per month 1bdrm Apartment in Kilimani for rent Renting out this magnificent 1 bedroom in kilimani.
It has g"
Jiji Kenya,Nairobi Region,Apartment,55000,0,0,0,0,"KSh 55,000 per month 1bdrm Apartment in Kilimani for rent Renting out this magnificent 1 bedroom in kilimani.
It has got good views.
Contact for viewi"
Jiji Kenya,Enkang Residence,Studio Apartment,55000,0,0,0,0,"5+ years on Jiji  KSh 55,000 per month Furnished 1bdrm Apartment in Enkang Residence, Racecourse for rent Wake up to views of Ngong Road and Ngong For"
Jiji Kenya,Enkang Residence,Studio Apartment,55000,0,0,0,0,"KSh 55,000 per month Furnished 1bdrm Apartment in Enkang Residence, Racecourse for rent Wake up to views of Ngong Road and Ngong Forest in this stylis"
Jiji Kenya,Enkang Residence,Apartment,55000,0,0,0,0,"KSh 55,000 per month Furnished 1bdrm Apartment in Enkang Residence, Racecourse for rent"
Jiji Kenya,Enkang Residence,Apartment,0,0,0,0,0,"Furnished 1bdrm Apartment in Enkang Residence, Racecourse for rent"
Jiji Kenya,Nairobi Region,Studio Apartment,0,0,0,0,0,"Wake up to views of Ngong Road and Ngong Forest in this stylish and artfully decorate studio. The... Nairobi, Dagoretti"
Jiji Kenya,Nairobi Region,Studio Apartment,0,0,0,0,0,Wake up to views of Ngong Road and Ngong Forest in this stylish and artfully decorate studio. The...
Jiji Kenya,Nairobi Region,Apartment,85000,0,0,0,0,"Verified ID   5+ years on Jiji  KSh 85,000 per month 2bdrm Apartment in Kilimani for rent Kilimani 2 bedroom apartment to let e.
Features include;
-Ul"
Jiji Kenya,Nairobi Region,Apartment,85000,0,0,0,0,"KSh 85,000 per month 2bdrm Apartment in Kilimani for rent Kilimani 2 bedroom apartment to let e.
Features include;
-Ultra spacious lounge
-Open plan k"
Jiji Kenya,Nairobi Region,Apartment,0,0,0,0,0,"Kilimani 2 bedroom apartment to let e.
Features include;
-Ultra spacious lounge
-Open plan kitchen... Nairobi, Kilimani"
Jiji Kenya,Nairobi Region,Apartment,0,0,0,0,0,"Kilimani 2 bedroom apartment to let e.
Features include;
-Ultra spacious lounge
-Open plan kitchen..."
